Spike_Number,Time_seconds,Voltage_Drop_mV,Peak_Voltage_mV,Inter_Spike_Interval_s,Spike_Category
278,167303,-0.22800000000000004,-0.279,3.0,Large
279,167316,-0.174,-0.237,13.0,Small
280,167319,-0.176,-0.241,3.0,Small
281,167322,-0.17,-0.221,3.0,Small
282,167324,-0.16,-0.228,2.0,Small
283,167326,-0.16000000000000003,-0.231,2.0,Small
284,167334,-0.171,-0.225,8.0,Small
285,167347,-0.218,-0.251,13.0,Large
286,167360,-0.16899999999999998,-0.254,13.0,Small
287,167365,-0.176,-0.239,5.0,Small
288,167368,-0.218,-0.256,3.0,Large
289,167376,-0.19,-0.231,8.0,Medium
290,167378,-0.16,-0.198,2.0,Small
291,167383,-0.172,-0.21,5.0,Small
292,167390,-0.162,-0.2,7.0,Small
293,167397,-0.158,-0.213,7.0,Small
294,167408,-0.15200000000000002,-0.198,11.0,Small
295,167430,-0.185,-0.229,22.0,Medium
296,167433,-0.17900000000000002,-0.268,3.0,Small
297,167445,-0.16799999999999998,-0.237,12.0,Small
298,167453,-0.176,-0.193,8.0,Small
299,167458,-0.185,-0.219,5.0,Medium
300,167465,-0.17200000000000001,-0.198,7.0,Small
301,167480,-0.165,-0.23,15.0,Small
302,167482,-0.16,-0.22,2.0,Small
303,167484,-0.17099999999999999,-0.216,2.0,Small
304,167490,-0.16999999999999998,-0.218,6.0,Small
305,167505,-0.186,-0.225,15.0,Medium
306,167510,-0.155,-0.225,5.0,Small
307,167530,-0.177,-0.21,20.0,Small
308,167543,-0.19,-0.231,13.0,Medium
309,167545,-0.157,-0.211,2.0,Small
310,167554,-0.169,-0.195,9.0,Small
311,167573,-0.15400000000000003,-0.231,19.0,Small
312,167588,-0.151,-0.242,15.0,Small
313,167596,-0.15500000000000003,-0.264,8.0,Small
314,167601,-0.153,-0.221,5.0,Small
315,167624,-0.158,-0.214,23.0,Small
316,167638,-0.177,-0.224,14.0,Small
317,167659,-0.159,-0.189,21.0,Small
318,167676,-0.162,-0.193,17.0,Small
319,167686,-0.161,-0.218,10.0,Small
320,167688,-0.177,-0.22,2.0,Small
321,167700,-0.15300000000000002,-0.199,12.0,Small
322,167725,-0.166,-0.234,25.0,Small
323,167744,-0.165,-0.229,19.0,Small
324,167752,-0.155,-0.253,8.0,Small
325,167755,-0.16799999999999998,-0.218,3.0,Small
326,167760,-0.188,-0.231,5.0,Medium
327,167762,-0.16299999999999998,-0.204,2.0,Small
328,167776,-0.174,-0.214,14.0,Small
329,167778,-0.202,-0.231,2.0,Medium
330,167790,-0.15499999999999997,-0.24,12.0,Small
331,167793,-0.217,-0.235,3.0,Large
332,167796,-0.157,-0.219,3.0,Small
333,167800,-0.201,-0.247,4.0,Medium
334,167824,-0.22,-0.257,24.0,Large
335,167833,-0.158,-0.184,9.0,Small
336,167842,-0.201,-0.228,9.0,Medium
337,167851,-0.15400000000000003,-0.198,9.0,Small
338,167860,-0.158,-0.22,9.0,Small
339,167878,-0.163,-0.229,18.0,Small
340,167887,-0.16799999999999998,-0.252,9.0,Small
341,167892,-0.16899999999999998,-0.177,5.0,Small
342,167900,-0.16,-0.212,8.0,Small
343,167906,-0.18100000000000002,-0.277,6.0,Medium
344,167911,-0.175,-0.249,5.0,Small
345,167933,-0.173,-0.237,22.0,Small
346,167935,-0.19,-0.237,2.0,Medium
347,167940,-0.20099999999999998,-0.243,5.0,Medium
348,167946,-0.19,-0.224,6.0,Medium
349,167955,-0.195,-0.219,9.0,Medium
350,167977,-0.15200000000000002,-0.23,22.0,Small
351,167984,-0.22,-0.256,7.0,Large
352,167987,-0.16899999999999998,-0.204,3.0,Small
353,167992,-0.17500000000000002,-0.202,5.0,Small
354,167995,-0.153,-0.209,3.0,Small
355,168026,-0.20600000000000002,-0.223,31.0,Medium
356,168028,-0.17300000000000001,-0.225,2.0,Small
357,168036,-0.197,-0.258,8.0,Medium
358,168041,-0.16399999999999998,-0.239,5.0,Small
359,168046,-0.189,-0.223,5.0,Medium
360,168053,-0.17200000000000001,-0.198,7.0,Small
361,168061,-0.21800000000000003,-0.261,8.0,Large
362,168081,-0.19999999999999998,-0.236,20.0,Medium
363,168097,-0.17400000000000002,-0.231,16.0,Small
364,168115,-0.17900000000000002,-0.232,18.0,Small
365,168118,-0.185,-0.206,3.0,Medium
366,168122,-0.157,-0.253,4.0,Small
367,168126,-0.169,-0.199,4.0,Small
368,168130,-0.16499999999999998,-0.25,4.0,Small
369,168135,-0.164,-0.19,5.0,Small
370,168150,-0.172,-0.235,15.0,Small
371,168153,-0.152,-0.161,3.0,Small
372,168165,-0.185,-0.214,12.0,Medium
373,168168,-0.20600000000000002,-0.258,3.0,Medium
374,168172,-0.206,-0.236,4.0,Medium
