Time,Channel_1,Channel_3,Channel_5,Channel_7,Channel_9
165089,-0.048,0.023,0.008,-0.065,0.015
165090,-0.038,0.032,0.008,-0.231,0.134
165091,-0.03,0.011,0.009,-0.078,0.017
165092,-0.031,-0.008,0.007,-0.178,0.081
165093,-0.034,-0.015,0.01,-0.15,0.087
165094,-0.038,-0.018,0.007,-0.103,0.022
165095,-0.035,0.003,0.007,-0.244,0.122
165096,-0.029,0.011,0.004,-0.231,0.077
165097,-0.027,0.015,0.011,-0.073,0.049
165098,-0.032,0.015,0.007,-0.126,0.048
165099,-0.034,0.018,0.008,-0.206,0.103
165100,-0.041,0.018,0.007,-0.178,0.051
165101,-0.049,0.025,0.008,-0.067,0.009
165102,-0.049,0.02,0.007,-0.212,0.102
165103,-0.047,0.016,0.01,-0.095,0.05
165104,-0.03,0.021,0.005,-0.193,0.077
165105,-0.02,0.026,0.007,-0.044,-0.02
165106,-0.023,0.025,0.008,-0.212,0.111
165107,-0.015,0.029,0.01,-0.067,0.026
165108,-0.018,0.037,0.005,-0.178,0.063
165109,-0.025,0.035,0.006,-0.064,-0.009
165110,-0.026,0.028,0.008,-0.069,0.016
165111,-0.026,0.024,0.008,-0.062,0.008
165112,-0.032,0.017,0.011,-0.128,0.095
165113,-0.033,0.009,0.006,-0.152,0.05
165114,-0.036,0.011,0.01,-0.028,0.003
165115,-0.032,0.008,0.012,-0.156,0.118
165116,-0.033,-0.003,0.007,-0.113,0.03
165117,-0.035,-0.01,0.008,-0.226,0.128
165118,-0.034,-0.015,0.007,-0.083,0.024
165119,-0.038,-0.006,0.008,-0.224,0.113
165120,-0.031,-0.0,0.005,-0.228,0.084
165121,-0.031,0.006,0.011,-0.037,0.017
165122,-0.028,0.023,0.008,-0.201,0.1
165123,-0.032,0.037,0.01,-0.063,0.022
165124,-0.031,0.04,0.006,-0.211,0.098
165125,-0.028,0.034,0.011,-0.05,0.03
165126,-0.033,0.021,0.009,-0.167,0.102
165127,-0.034,0.001,0.007,-0.117,0.026
165128,-0.033,0.002,0.01,-0.158,0.111
165129,-0.027,0.007,0.004,-0.192,0.047
165130,-0.029,0.014,0.009,-0.062,0.046
165131,-0.027,0.012,0.008,-0.232,0.122
165132,-0.031,0.013,0.008,-0.08,0.021
165133,-0.032,0.013,0.006,-0.229,0.107
165134,-0.032,0.01,0.009,-0.06,0.01
165135,-0.03,0.012,0.007,-0.235,0.127
165136,-0.041,0.011,0.005,-0.095,0.013
165137,-0.048,0.013,0.007,-0.042,-0.007
165138,-0.043,0.008,0.008,-0.201,0.112
165139,-0.039,0.012,0.006,-0.066,0.002
165140,-0.038,0.024,0.008,-0.037,-0.004
165141,-0.038,0.03,0.01,-0.182,0.114
165142,-0.026,0.034,0.006,-0.124,0.022
165143,-0.013,0.038,0.012,-0.11,0.089
165144,-0.014,0.042,0.005,-0.243,0.093
165145,-0.045,0.048,0.011,-0.064,0.043
165146,-0.069,0.048,0.005,-0.218,0.086
165147,-0.065,0.035,0.011,-0.04,0.02
165148,-0.063,0.024,0.009,-0.238,0.126
165149,-0.065,0.022,0.005,-0.256,0.099
165150,-0.062,0.031,0.006,-0.244,0.105
165151,-0.061,0.029,0.01,-0.096,0.047
165152,-0.052,0.022,0.005,-0.218,0.087
165153,-0.051,0.019,0.011,-0.05,0.031
165154,-0.045,0.017,0.006,-0.241,0.123
165155,-0.032,0.017,0.008,-0.068,0.002
165156,-0.037,0.017,0.009,-0.21,0.123
165157,-0.03,0.013,0.004,-0.147,0.039
165158,-0.03,0.008,0.011,-0.133,0.08
165159,-0.031,0.012,0.004,-0.181,0.06
165160,-0.028,0.013,0.005,-0.085,-0.008
165161,-0.024,0.014,0.013,-0.067,0.05
165162,-0.026,0.011,0.005,-0.231,0.085
165163,-0.041,0.016,0.011,-0.118,0.077
165164,-0.04,0.019,0.005,-0.154,0.061
165165,-0.029,0.017,0.013,-0.037,0.025
165166,-0.026,0.025,0.012,-0.114,0.082
165167,-0.02,0.021,0.012,-0.143,0.1
165168,-0.024,0.016,0.004,-0.2,0.073
165169,-0.025,0.02,0.012,-0.071,0.045
165170,-0.019,0.02,0.011,-0.118,0.087
165171,-0.014,0.022,0.011,-0.184,0.126
165172,-0.02,0.031,0.01,-0.174,0.105
165173,-0.025,0.037,0.009,-0.219,0.087
165174,-0.027,0.04,0.004,-0.166,0.054
165175,-0.03,0.041,0.013,-0.104,0.06
165176,-0.036,0.045,0.013,-0.075,0.066
165177,-0.031,0.045,0.007,-0.244,0.119
165178,-0.036,0.041,0.004,-0.156,0.035
165179,-0.04,0.038,0.013,-0.092,0.063
165180,-0.031,0.033,0.011,-0.143,0.102
165181,-0.038,0.027,0.007,-0.271,0.134
165182,-0.044,0.017,0.007,-0.076,0.011
165183,-0.05,0.021,0.01,-0.219,0.134
165184,-0.061,0.024,0.004,-0.174,0.064
165185,-0.038,0.028,0.012,-0.131,0.08
165186,-0.026,0.03,0.006,-0.134,0.05
165187,-0.032,0.029,0.012,-0.063,0.021
165188,-0.032,0.027,0.007,-0.208,0.102
165189,-0.027,0.032,0.003,-0.179,0.042
165190,-0.025,0.041,0.005,-0.09,-0.009
165191,-0.024,0.049,0.011,-0.136,0.078
165192,-0.021,0.045,0.008,-0.158,0.08
165193,-0.021,0.044,0.005,-0.139,0.013
165194,-0.02,0.027,0.007,-0.17,0.07
165195,-0.015,0.023,0.009,-0.127,0.068
165196,-0.016,0.017,0.008,-0.132,0.064
165197,-0.014,0.001,0.005,-0.049,0.044
165198,-0.016,-0.004,0.01,-0.169,0.105
165199,-0.022,-0.002,0.003,-0.17,0.045
165200,-0.016,0.006,0.01,-0.041,-0.007
165201,-0.011,-0.009,0.011,-0.163,0.109
165202,-0.01,-0.002,0.005,-0.165,0.056
165203,-0.013,0.005,0.008,-0.028,-0.006
165204,-0.025,0.009,0.011,-0.176,0.106
165205,-0.028,0.021,0.003,-0.2,0.073
165206,-0.028,0.027,0.011,-0.087,0.046
165207,-0.028,0.026,0.005,-0.211,0.08
165208,-0.032,0.03,0.012,-0.071,0.042
165209,-0.03,0.032,0.009,-0.227,0.136
165210,-0.039,0.028,0.005,-0.253,0.111
165211,-0.078,0.027,0.007,-0.09,0.016
165212,-0.051,0.028,0.009,-0.226,0.121
165213,-0.047,0.028,0.005,-0.121,0.029
165214,-0.04,0.034,0.012,-0.109,0.083
165215,-0.037,0.036,0.004,-0.206,0.076
